title,price,city,model,mileage,fuel_type,transmission,registered,color,assembly,engine_capacity,post_date,price_category,mileage_category,post_day_of_week,vehicle_age
Nissan Note 2020,5400000,Lahore,2020,59000,Hybrid,Automatic,Un-Registered,Silver,Imported,1200,04/05/2024,High,Medium,Saturday,4
Toyota Yaris Cross 2021,7850000,Lahore,2021,41000,Hybrid,Automatic,Un-Registered,Beige,Imported,1500,04/05/2024,High,Low,Saturday,3
Toyota Corolla Altis Grande X CVT-i 1.8 Beige Interior 2022,6475000,Lahore,2022,59500,Petrol,Automatic,Lahore,Super White,Local,1800,04/05/2024,High,Medium,Saturday,2
KIA Picanto 1.0 AT 2022,3150000,Lahore,2022,24000,Petrol,Automatic,Punjab,Mercury Blue,Local,998,04/05/2024,Medium,Low,Saturday,2
Haval H6 1.5T 2024,9750000,Lahore,2024,1,Petrol,Automatic,Un-Registered,Diamond Black,Local,1500,04/05/2024,High,Low,Saturday,0
Toyota Raize 2021,5000000,Islamabad,2021,50000,Petrol,Automatic,Islamabad,Silver,Imported,1000,04/05/2024,High,Low,Saturday,3
Suzuki Alto VXL AGS 2022,3000000,Karachi,2022,14000,Petrol,Automatic,Karachi,Graphite Grey,Local,660,04/05/2024,Medium,Low,Saturday,2
DFSK Glory 580 Pro 2021,5350000,Karachi,2021,16800,Petrol,Automatic,Sindh,Black,Imported,1500,04/05/2024,High,Low,Saturday,3
MG HS 2023,7650000,Lahore,2023,16500,Petrol,Automatic,Punjab,Black,Imported,1500,04/05/2024,High,Low,Saturday,1
Nissan Note 1.2E 2020,5575000,Lahore,2020,55000,Hybrid,Automatic,Un-Registered,Brilliant White Pearl,Imported,1198,04/05/2024,High,Medium,Saturday,4
Honda Civic Oriel 1.8 i-VTEC CVT 2020,5490000,Karachi,2020,55000,Petrol,Automatic,Karachi,Maroon,Local,1800,04/05/2024,High,Medium,Saturday,4
ORA 03 400-Pro 2024,9040000,Lahore,2024,1,Not Available,Automatic,Un-Registered,Black,Local,1300,04/05/2024,High,Low,Saturday,0
Toyota Yaris ATIV CVT 1.3 2020,4100000,Karachi,2020,42000,Petrol,Automatic,Karachi,Super White,Local,1300,04/05/2024,High,Low,Saturday,4
Honda City 1.2L M/T 2021,4200000,Multan,2021,39000,Petrol,Not Available,Islamabad,White,Local,1200,04/05/2024,High,Low,Saturday,3
Honda City 1.2L CVT 2022,4525000,Lahore,2022,13400,Petrol,Automatic,Lahore,Taffeta White,Local,1200,04/05/2024,High,Low,Saturday,2
Toyota Passo X S  2020,4225000,Islamabad,2020,41000,Petrol,Automatic,Un-Registered,Silver,Imported,1000,04/05/2024,High,Low,Saturday,4
ORA 03 400-Pro 2024,9040000,Lahore,2024,1,Not Available,Automatic,Un-Registered,White,Local,1300,04/05/2024,High,Low,Saturday,0
Toyota Corolla Altis Grande X CVT-i 1.8 Black Interior 2023,7525000,Lahore,2023,6500,Petrol,Automatic,Punjab,Silver Metallic,Local,1800,04/05/2024,High,Low,Saturday,1
